,LOVELACE,PASCAL,TURING,BABBAGE,BDE,CAFET,BU,Maintenance Logistique,Salle du personnel (004),Association des élèves (002),Association des élèves (BDS) (003),Toilettes Femme BU,Toilettes Homme BU,Hall d'entrée,Escalier Hall d'entrée,Escalier BDE,Escalier côté bibliothèque,Escalier côté Pascal,Ascenseur 0,Escalier bas pont,noeud central entree,BDA,BOOLE,SHANNON,VON NEUMAN,CHAINE PRODUCTION,WINDOWS A,WINDOWS B,MUNDUS(112),Bureau Directeur de Polytech Tours (Néron) (106),Antenne financiere(108),Salle intervenant(109),Archive(107),Secrétariat (104),Bureau Directeur Département Informatique(103),Bureau responsable administrative (105),Secrétariat Laboratoire informatique(102),Directeur Laboratoire informatique(101) Billaut,scolarite DI,S 110,S 111,Toilettes Femme salle reunion,Toilettes Homme salle reunion,Escalier scolarite DI,Escalier chaîne de production,Escalier côté bibliothèque 1,Escalier haut pont,113 Administration bureau,Secrétariat  scolarite (127),Escalier windows A,Toilette Homme WINDOWS A,Toilette Femme WINDOWS A,Ascenseur 1,S 228-229,TP SYSTEME,UNIX A (230),UNIX B (231),MEZZANINE,Toilettes Femme UNIX A,Toilettes Homme UNIX A,Escalier côté bibliothèque 2,Escalier chaîne de production 2,Escalier UNIX B,service info Rousseau Meichel Beaufils (217),reserve,Lente Darwiche Martineau (209),Conte Barrat Cherni (208),T'KINDT Raveau Shang (207),Ragot Cardot Hidane (211),Makris Ramel Brouard (206),Delalandre Mille Olivier (212),Soukhal Martineau Mendoza (205),Froger Haykal llosa (213),Venturini Serres (204),Rolland esswein Tacquard (214),Bocquillon Kergosien Giret (203),Maurel Kergosien Gupta Abid (215),Guengill Galbot Noumen Zahout Boas(201),Bureau doctorants(202),Reconnaisance des formes et analyse d'images(223),Ordonnancement et conduite(222),"Fouille visuelle de données et algorithmes biomimétiques ""FOVEA""(220)",Ascenseur 2,Toilette Femme Escalier BU,Toilette Homme Escalier BU,salle de visio-enseignement (216)
LOVELACE,,,,,,G,,,,,,D,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PASCAL,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TURING,,,,G,,H,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BABBAGE,,,D,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDE,,,,D,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAFET,D,,G,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BU,,,,,,,,,,,,D,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maintenance Logistique,,,,,,,,,,,,,,,H,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salle du personnel (004),,,,,,,,,,G,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association des élèves (002),,,,,,,,,G,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association des élèves (BDS) (003),,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toilettes Femme BU,G,,,,,,H,,,,,,D,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toilettes Homme BU,,,,,,,,,,D,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hall d'entrée,,,,,,,,,,,,,,,G,D,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escalier Hall d'entrée,,,,,,,,G,,,,,,D,,,,,H,H,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escalier BDE,,,,,G,,,,,,,,,H,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escalier côté bibliothèque,,,,,,,H,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escalier côté Pascal,,G,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ascenseur 0,,,,,,,,D,,,,,,,H,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escalier bas pont,,,,,,,,,,,,,,G,H,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noeud central entree,H,,,,,H,,,,,,,,H,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDA,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,H,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOOLE,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHANNON,,,,,,,,,,,,,,,,,,,,,,G,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VON NEUMAN,,,,,,,,,,,,,,,,,,,,,,,D,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHAINE PRODUCTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINDOWS A,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,H,H,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINDOWS B,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUNDUS(112),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau Directeur de Polytech Tours (Néron) (106),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antenne financiere(108),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,D,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salle intervenant(109),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,H,,G,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archive(107),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secrétariat (104),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau Directeur Département Informatique(103),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau responsable administrative (105),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secrétariat Laboratoire informatique(102),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Directeur Laboratoire informatique(101) Billaut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scolarite DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,,D,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S 110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S 111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toilettes Femme salle reunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,D,G,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toilettes Homme salle reunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escalier scolarite DI,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,H,,,,,,,D,,,,,,,,,,,,,,H,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,
Escalier chaîne de production,,,,,,,,,,,,,,,,,,B,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,
Escalier côté bibliothèque 1,,,,,,,,,,,,,,,,,B,,,,,,,,,,,,,D,,,,,,,,,,,,G,G,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
Escalier haut pont,,,,,,,,,,,,,,,,,,,,H,,,G,,,,,,,,,,,,,,,,,,,H,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113 Administration bureau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,D,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secrétariat  scolarite (127),,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,G,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escalier windows A,,,,,,,,,,,,,,,,B,,,,,,G,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toilette Homme WINDOWS A,,,,,,,,,,,,,,,,,,,,,,D,,,,,G,,,,,,,,,,,,,,,,,,,,,,,H,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toilette Femme WINDOWS A,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,G,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ascenseur 1,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,H,,,,,H,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,
S 228-229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,D,,,,,,,,,,,,,,,,,,,,,,,,
TP SYSTEME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,D,,,,,,
UNIX A (230),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,D,H,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIX B (231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,
MEZZANINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,
Toilettes Femme UNIX A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toilettes Homme UNIX A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escalier côté bibliothèque 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,D,D,,,,,,,,,,,,,,,,,,G,,
Escalier chaîne de production 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,D,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escalier UNIX B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,,D,,,
service info Rousseau Meichel Beaufils (217),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H
reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,H,,,,,,,,,,,,,,,,,,,,
Lente Darwiche Martineau (209),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,H,,D,,,,,,,,,,,,,,,,,,,
Conte Barrat Cherni (208),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,D,,,,,,,,,,,,,,,,,,
T'KINDT Raveau Shang (207),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,H,D,,,,,,,,,,,,,,,,
Ragot Cardot Hidane (211),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,G,,,,,,,,,,,,,,,,
